"id","followers","genres","name","popularity"
"5c87r0Kx3oXwyBkMFCdZtJ",28637,"['classic danish pop', 'danish pop', 'danish pop rock', 'dansktop']","Dodo & the Dodos",47
"1N7uYpBFTTOHK9pJVRjR36",24895,"['carnaval', 'dutch pop', 'levenslied']","Gebroeders Ko",52
"5lEkQtWa3UKlI1hj7sktcd",92090,"['czech hip hop', 'czsk hip hop']","Calin",55
"2lzGXw61wSj8mMK73d59Wn",13833,"['reggae', 'rock steady', 'ska', 'ska revival']","Don Drummond",40
"22eZSsFE2fxLnnC9Zga25b",23442,"['c-pop', 'classic mandopop', 'mandopop']","黃品源",41
"6wkXz0l39PmKZz3km5pbpR",253,"['polca paraguaya']","Antonio Aguilar y su Cuarteto Venus",10
"5LmehwqsJa7a4Ya5SaqXpx",4867,"['doo-wop']","The Silhouettes",38
"43M46mchUpzAXo6wHNemNE",6510,"['classic hungarian rock']","Korál",28
"6EIriUxo7vznEgJtTDlXpq",11940,"[]","Azahriah",47
"0C3z9wx7oGwZ6SuJhrvBKM",19301,"['czech rock', 'slovak pop', 'slovak rock']","Tublatanka",35
"1YmWActCNjKmuIz1TSgSRx",37277,"['mandopop', 'taiwan pop']","林凡",43
"0tQzBYPjAardhWpGkqVdNW",39780,"['british folk', 'experimental', 'folk', 'folk rock', 'psychedelic folk', 'psychedelic rock']","The Incredible String Band",36
"4rBAiM4X8nQq5r8XkW4CM1",4995,"['euphoric hardstyle']","Jeckyll & Hyde",39
"5PaMXRPWxlUL5Q0u0gQ8ej",8238,"['ensemble stars', 'j-division']","Crazy:B/天城 燐音(CV.阿座上 洋平)、HiMERU(CV.笠間 淳)、桜河 こはく(CV.海渡 翼)、椎名 ニキ(CV.山口 智広)",40
"5HgB3r11CTMckYeopesztP",109333,"['modern bollywood']","Bobby-Imran",42
"4DXXg7xzgKAEYeFhh9wAtk",122388,"['polish alternative', 'polish alternative rock']","Strachy Na Lachy",50
"5gtYjyZlmPOc1lLHvYzCON",5723,"[]","Janieck Devy",59
"5meD8C7oGK5yUEY2T7ZZ7W",2126518,"['belarusian hip hop', 'russian hip hop']","Max Korzh",65
"7o9Nl7K1Al6NNAHX6jn6iG",305420,"['dance pop']","Travie McCoy",67
"2Voym2yJawg9ChaAiybFJv",1396,"[]","Sassydee",35
"2LmcxBak1alK1bf7d1beTr",694929,"['reggaeton', 'reggaeton flow', 'trap latino']","Juhn",83
"7bd687clsLdr4DueSybjG3",2258,"['early reggae', 'rock steady']","Rudy Mills",25
"0wjrZ5PUcVjAbUUX33JRr8",256959,"['javanese dangdut', 'lagu jawa']","Woro Widowati",60
